capacidad_mochila,5000000,,
id,valor,peso
308,343,243
309,562,462
310,679,579
311,813,713
312,855,755
313,791,691
314,847,747
315,500,400
316,1089,989
317,348,248
318,480,380
319,626,526
320,1000,900
321,161,61
322,527,427
323,377,277
324,743,643
325,990,890
326,874,774
327,148,48
328,962,862
329,427,327
330,947,847
331,275,175
332,1014,914
333,587,487
334,258,158
335,571,471
336,388,288
337,101,1
338,769,669
339,276,176
340,973,873
341,847,747
342,966,866
343,593,493
344,400,300
345,918,818
346,189,89
347,846,746
348,570,470
349,956,856
350,609,509
351,377,277
352,407,307
353,389,289
354,605,505
355,693,593
356,738,638
357,912,812
358,1012,912
359,390,290
360,825,725
361,811,711
362,647,547
363,497,397
364,218,118
365,146,46
366,207,107
367,206,106
368,1009,909
369,629,529
370,421,321
371,683,583
372,563,463
373,941,841
374,457,357
375,1017,917
376,461,361
377,1060,960
378,189,89
379,713,613
380,493,393
381,1018,918
382,533,433
383,497,397
384,758,658
385,812,712
386,725,625
387,438,338
388,987,887
389,238,138
390,1037,937
391,454,354
392,344,244
393,533,433
394,575,475
395,977,877
396,229,129
397,309,209
398,661,561
399,790,690
400,624,524
401,903,803
402,815,715
403,541,441
404,529,429
405,930,830
406,1012,912
407,972,872
408,446,346
409,906,806
410,132,32
411,774,674
412,346,246
413,243,143
414,966,866
415,653,553
416,316,216
417,328,228
418,232,132
419,307,207
420,365,265
421,901,801
422,151,51
423,577,477
424,370,270
425,171,71
426,894,794
427,655,555
428,159,59
429,371,271
430,897,797
431,1085,985
432,986,886
433,390,290
434,355,255
435,755,655
436,843,743
437,659,559
438,829,729
439,631,531
440,165,65
441,975,875
442,813,713
443,117,17
444,986,886
445,893,793
446,913,813
447,788,688
448,1085,985
449,358,258
450,236,136
451,537,437
452,685,585
453,1010,910
454,539,439
455,476,376
456,1098,998
457,507,407
458,725,625
459,1082,982
460,801,701
461,620,520
462,985,885
463,807,707
464,887,787
465,622,522
466,992,892
467,763,663
468,379,279
469,1018,918
470,830,730
471,769,669
472,879,779
473,707,607
474,844,744
475,405,305
476,792,692
477,571,471
478,1092,992
479,303,203
480,698,598
481,298,198
482,837,737
483,822,722
484,271,171
485,1066,966
486,1036,936
487,605,505
488,916,816
489,172,72
490,335,235
491,181,81
492,696,596
493,762,662
494,517,417
495,580,480
496,135,35
497,253,153
498,670,570
499,611,511
500,224,124
501,418,318
502,256,156
503,569,469
504,1014,914
505,702,602
506,613,513
507,437,337
508,317,217
509,576,476
510,494,394
511,121,21
512,234,134
513,716,616
514,660,560
515,350,250
516,1026,926
517,914,814
518,182,82
519,380,280
520,541,441
521,985,885
522,399,299
523,609,509
524,810,710
525,656,556
526,866,766
527,338,238
528,326,226
529,739,639
530,118,18
531,246,146
532,752,652
533,428,328
534,1047,947
535,588,488
536,1081,981
537,1063,963
538,813,713
539,221,121
540,760,660
541,959,859
542,1069,969
543,278,178
544,390,290
545,721,621
546,302,202
547,146,46
548,708,608
549,695,595
550,305,205
551,854,754
552,1012,912
553,670,570
554,355,255
555,230,130
556,296,196
557,580,480
558,297,197
559,123,23
560,779,679
561,685,585
562,674,574
563,401,301
564,941,841
565,318,218
566,556,456
567,1053,953
568,1075,975
569,343,243
570,290,190
571,575,475
572,402,302
573,1081,981
574,545,445
575,697,597
576,897,797
577,232,132
578,935,835
579,163,63
580,811,711
581,340,240
582,975,875
583,509,409
584,128,28
585,705,605
586,800,700
587,602,502
588,792,692
589,641,541
590,396,296
591,390,290
592,677,577
593,321,221
594,394,294
595,373,273
596,107,7
597,425,325
598,1009,909
599,537,437
600,908,808
601,807,707
602,161,61
603,771,671
604,944,844
605,997,897
606,317,217
607,162,62
608,321,221
609,132,32
610,1098,998
611,1037,937
612,884,784
613,180,80
614,878,778
615,463,363
616,744,644
617,856,756
618,838,738
619,232,132
620,580,480
621,205,105
622,851,751
623,669,569
624,1024,924
625,795,695
626,330,230
627,748,648
628,316,216
629,772,672
630,964,864
631,955,855
632,780,680
633,555,455
634,1095,995
635,654,554
636,158,58
637,158,58
638,313,213
639,1063,963
640,981,881
641,922,822
642,637,537
643,128,28
644,1048,948
645,303,203
646,497,397
647,1031,931
648,651,551
649,873,773
650,767,667
651,1051,951
652,699,599
653,931,831
654,617,517
655,253,153
656,663,563
657,951,851
658,615,515
659,987,887
660,897,797
661,806,706
662,215,115
663,436,336
664,828,728
665,438,338
666,1094,994
667,138,38
668,979,879
669,451,351
670,471,371
671,470,370
672,583,483
673,1078,978
674,346,246
675,985,885
676,702,602
677,340,240
678,117,17
679,612,512
680,538,438
681,428,328
682,323,223
683,680,580
684,810,710
685,517,417
686,692,592
687,748,648
688,369,269
689,658,558
690,1022,922
691,144,44
692,881,781
693,696,596
694,597,497
695,269,169
696,747,647
697,760,660
698,535,435
699,1016,916
700,239,139
701,436,336
702,528,428
703,229,129
704,445,345
705,507,407
706,705,605
707,525,425
708,181,81
709,363,263
710,788,688
711,560,460
712,551,451
713,128,28
714,652,552
715,510,410
716,354,254
717,667,567
718,758,658
719,381,281
720,461,361
721,871,771
722,428,328
723,326,226
724,819,719
725,797,697
726,303,203
727,524,424
728,1046,946
729,691,591
730,394,294
731,1077,977
732,369,269
733,464,364
734,107,7
735,459,359
736,450,350
737,838,738
738,804,704
739,842,742
740,672,572
741,240,140
742,660,560
743,919,819
744,640,540
745,623,523
746,402,302
747,325,225
748,223,123
749,614,514
750,955,855
751,523,423
752,292,192
753,990,890
754,827,727
755,717,617
756,527,427
757,1088,988
758,731,631
759,746,646
760,510,410
761,264,164
762,542,442
763,377,277
764,215,115
765,842,742
766,1005,905
767,517,417
768,698,598
769,318,218
770,344,244
771,394,294
772,377,277
773,941,841
774,341,241
775,918,818
776,908,808
777,861,761
778,324,224
779,212,112
780,381,281
781,571,471
782,891,791
783,327,227
784,620,520
785,651,551
786,913,813
787,982,882
788,159,59
789,578,478
790,371,271
791,901,801
792,1044,944
793,771,671
794,789,689
795,260,160
796,105,5
797,340,240
798,1046,946
799,310,210
800,126,26
801,1082,982
802,753,653
803,386,286
804,282,182
805,393,293
806,473,373
807,136,36
808,631,531
809,1028,928
810,623,523
811,534,434
812,826,726
813,161,61
814,188,88
815,728,628
816,795,695
817,278,178
818,655,555
819,762,662
820,178,78
821,695,595
822,1025,925
823,878,778
824,772,672
825,962,862
826,774,674
827,841,741
828,288,188
829,399,299
830,248,148
831,596,496
832,994,894
833,727,627
834,447,347
835,565,465
836,235,135
837,183,83
838,492,392
839,946,846
840,598,498
841,995,895
842,716,616
843,892,792
844,467,367
845,936,836
846,315,215
847,168,68
848,861,761
849,854,754
850,133,33
851,433,333
852,676,576
853,482,382
854,298,198
855,974,874
856,312,212
857,1097,997
858,587,487
859,495,395
860,449,349
861,762,662
862,187,87
863,485,385
864,559,459
865,881,781
866,455,355
867,657,557
868,692,592
869,838,738
870,545,445
871,984,884
872,762,662
873,178,78
874,259,159
875,179,79
876,329,229
877,944,844
878,662,562
879,684,584
880,436,336
881,474,374
882,240,140
883,300,200
884,996,896
885,1075,975
886,284,184
887,928,828
888,161,61
889,364,264
890,613,513
891,361,261
892,156,56
893,219,119
894,412,312
895,695,595
896,795,695
897,437,337
898,1088,988
899,1089,989
900,250,150
901,616,516
902,370,270
903,254,154
904,208,108
905,603,503
906,865,765
907,432,332
908,832,732
909,930,830
910,904,804
911,310,210
912,465,365
913,752,652
914,957,857
915,1016,916
916,314,214
917,438,338
918,1074,974
919,899,799
920,920,820
921,589,489
922,868,768
923,317,217
924,725,625
925,625,525
926,298,198
927,1023,923
928,510,410
929,458,358
930,803,703
931,1026,926
932,129,29
933,696,596
934,437,337
935,668,568
936,971,871
937,441,341
938,713,613
939,729,629
940,749,649
941,214,114
942,627,527
943,584,484
944,409,309
945,985,885
946,847,747
947,450,350
948,317,217
949,446,346
950,110,10
951,332,232
952,1035,935
953,730,630
954,114,14
955,348,248
956,310,210
957,647,547
958,982,882
959,443,343
960,398,298
961,195,95
962,1069,969
963,625,525
964,455,355
965,959,859
966,557,457
967,448,348
968,462,362
969,408,308
970,874,774
971,521,421
972,506,406
973,1087,987
974,654,554
975,720,620
976,910,810
977,1072,972
978,767,667
979,1023,923
980,229,129
981,566,466
982,405,305
983,178,78
984,631,531
985,348,248
986,655,555
987,111,11
988,259,159
989,860,760
990,300,200
991,400,300
992,534,434
993,524,424
994,950,850
995,846,746
996,101,1
997,624,524
998,174,74
999,514,414
1000,444,344
1001,779,679
1002,945,845
1003,1052,952
1004,227,127
1005,1004,904
1006,962,862
1007,731,631
1008,581,481
1009,847,747
1010,998,898
1011,1025,925
1012,144,44
1013,410,310
1014,800,700
1015,706,606
1016,357,257
1017,209,109
1018,231,131
1019,266,166
1020,886,786
1021,440,340
1022,230,130
1023,387,287
1024,455,355
1025,774,674
1026,859,759
1027,994,894
1028,388,288
1029,208,108
1030,961,861
1031,634,534
1032,302,202
1033,926,826
1034,282,182
1035,896,796
1036,672,572
1037,514,414
1038,627,527
1039,102,2
1040,602,502
1041,606,506
1042,158,58
1043,971,871
1044,422,322
1045,938,838
1046,285,185
1047,827,727
1048,540,440
1049,236,136
1050,555,455
1051,244,144
1052,561,461
1053,624,524
1054,302,202
1055,176,76
1056,220,120
1057,233,133
1058,952,852
1059,663,563
1060,279,179
1061,541,441
1062,655,555
1063,282,182
1064,973,873
1065,787,687
1066,352,252
1067,475,375
1068,109,9
1069,932,832
1070,156,56
1071,394,294
1072,536,436
1073,584,484
1074,573,473
1075,975,875
1076,782,682
1077,643,543
1078,849,749
1079,443,343
1080,694,594
1081,1016,916
1082,901,801
1083,1055,955
1084,760,660
1085,525,425
1086,309,209
1087,528,428
1088,823,723
1089,106,6
1090,416,316
1091,468,368
1092,117,17
1093,992,892
1094,1021,921
1095,937,837
1096,127,27
1097,966,866
1098,996,896
1099,134,34
1100,948,848
1101,732,632
1102,170,70
1103,628,528
1104,450,350
1105,1082,982
1106,886,786
1107,127,27
1108,486,386
1109,166,66
1110,726,626
1111,260,160
1112,1014,914
1113,387,287
1114,1034,934
1115,614,514
1116,846,746
1117,207,107
1118,960,860
1119,708,608
1120,942,842
1121,991,891
1122,989,889
1123,894,794
1124,512,412
1125,233,133
1126,203,103
1127,439,339
1128,148,48
1129,1019,919
1130,653,553
1131,526,426
1132,1030,930
1133,120,20
1134,589,489
1135,951,851
1136,245,145
1137,745,645
1138,920,820
1139,825,725
1140,477,377
1141,160,60
1142,1092,992
1143,775,675
1144,480,380
1145,602,502
1146,1060,960
1147,348,248
1148,155,55
1149,374,274
1150,732,632
1151,486,386
1152,545,445
1153,430,330
1154,634,534
1155,352,252
1156,288,188
1157,821,721
1158,588,488
1159,474,374
1160,545,445
1161,664,564
1162,710,610
1163,786,686
1164,339,239
1165,470,370
1166,534,434
1167,786,686
1168,969,869
1169,244,144
1170,979,879
1171,932,832
1172,156,56
1173,593,493
1174,247,147
1175,949,849
1176,747,647
1177,473,373
1178,951,851
1179,457,357
1180,931,831
1181,296,196
1182,1022,922
1183,429,329
1184,443,343
1185,925,825
1186,167,67
1187,873,773
1188,331,231
1189,340,240
1190,1083,983
1191,153,53
1192,933,833
1193,341,241
1194,969,869
1195,781,681
1196,686,586
1197,352,252
1198,353,253
1199,244,144
1200,520,420
1201,439,339
1202,1034,934
1203,1029,929
1204,220,120
1205,151,51
1206,453,353
1207,788,688
1208,420,320
1209,880,780
1210,253,153
1211,1032,932
1212,395,295
1213,780,680
1214,863,763
1215,148,48
1216,679,579
1217,382,282
1218,1053,953
1219,217,117
1220,420,320
1221,752,652
1222,566,466
1223,498,398
1224,566,466
1225,704,604
1226,857,757
1227,800,700
1228,962,862
1229,438,338
1230,697,597
1231,514,414
1232,520,420
1233,897,797
1234,1079,979
1235,434,334
1236,307,207
1237,1008,908
1238,481,381
1239,205,105
1240,217,117
1241,379,279
1242,138,38
1243,563,463
1244,103,3
1245,949,849
1246,1021,921
1247,912,812
1248,158,58
1249,1026,926
1250,596,496
1251,1082,982
1252,912,812
1253,811,711
1254,862,762
1255,704,604
1256,863,763
1257,551,451
1258,877,777
1259,848,748
1260,796,696
1261,925,825
1262,530,430
1263,185,85
1264,859,759
1265,781,681
1266,349,249
1267,416,316
1268,829,729
1269,207,107
1270,507,407
1271,1012,912
1272,183,83
1273,346,246
1274,432,332
1275,716,616
1276,317,217
1277,322,222
1278,689,589
1279,539,439
1280,104,4
1281,878,778
1282,684,584
1283,943,843
1284,1018,918
1285,784,684
1286,989,889
1287,1012,912
1288,345,245
1289,450,350
1290,102,2
1291,418,318
1292,440,340
1293,873,773
1294,1096,996
1295,226,126
1296,1075,975
1297,830,730
1298,988,888
1299,454,354
1300,211,111
1301,730,630
1302,656,556
1303,247,147
1304,811,711
1305,371,271
1306,1034,934
1307,529,429
1308,354,254
1309,365,265
1310,645,545
1311,770,670
1312,675,575
1313,438,338
1314,721,621
1315,844,744
1316,366,266
1317,1025,925
1318,251,151
1319,813,713
1320,687,587
1321,890,790
1322,902,802
1323,333,233
1324,392,292
1325,267,167
1326,913,813
1327,218,118
1328,552,452
1329,595,495
1330,281,181
1331,268,168
1332,434,334
1333,703,603
1334,723,623
1335,1046,946
1336,272,172
1337,1078,978
1338,616,516
1339,719,619
1340,693,593
1341,691,591
1342,1041,941
1343,691,591
1344,251,151
1345,382,282
1346,178,78
1347,941,841
1348,370,270
1349,489,389
1350,1053,953
1351,1039,939
1352,246,146
1353,944,844
1354,146,46
1355,335,235
1356,489,389
1357,630,530
1358,578,478
1359,818,718
1360,1054,954
1361,1071,971
1362,456,356
1363,663,563
1364,893,793
1365,614,514
1366,889,789
1367,615,515
1368,695,595
1369,513,413
1370,291,191
1371,251,151
1372,797,697
1373,312,212
1374,288,188
1375,180,80
1376,434,334
1377,1018,918
1378,990,890
1379,765,665
1380,1071,971
1381,174,74
1382,998,898
1383,753,653
1384,345,245
1385,498,398
1386,310,210
1387,327,227
1388,141,41
1389,458,358
1390,910,810
1391,512,412
1392,907,807
1393,697,597
1394,858,758
1395,632,532
1396,372,272
1397,957,857
1398,1041,941
1399,702,602
1400,598,498
1401,522,422
1402,400,300
1403,421,321
1404,424,324
1405,413,313
1406,580,480
1407,716,616
1408,608,508
1409,845,745
1410,215,115
1411,469,369
1412,103,3
1413,543,443
1414,933,833
1415,1010,910
1416,226,126
1417,131,31
1418,597,497
1419,972,872
1420,619,519
1421,687,587
1422,475,375
1423,808,708
1424,173,73
1425,917,817
1426,213,113
1427,912,812
1428,1061,961
1429,988,888
1430,339,239
1431,472,372
1432,322,222
1433,530,430
1434,102,2
1435,376,276
1436,673,573
1437,192,92
1438,143,43
1439,351,251
1440,534,434
1441,830,730
1442,225,125
1443,829,729
1444,1087,987
1445,932,832
1446,616,516
1447,848,748
1448,902,802
1449,364,264
1450,630,530
1451,130,30
1452,226,126
1453,675,575
1454,1049,949
1455,916,816
1456,1015,915
1457,124,24
1458,783,683
1459,579,479
1460,330,230
1461,1071,971
1462,677,577
1463,993,893
1464,940,840
1465,831,731
1466,712,612
1467,579,479
1468,510,410
1469,303,203
1470,441,341
1471,493,393
1472,491,391
1473,1088,988
1474,473,373
1475,1091,991
1476,107,7
1477,709,609
1478,720,620
1479,124,24
1480,703,603
1481,595,495
1482,309,209
1483,119,19
1484,638,538
1485,576,476
1486,743,643
1487,948,848
1488,1012,912
1489,709,609
1490,803,703
1491,599,499
1492,761,661
1493,879,779
1494,743,643
1495,1029,929
1496,332,232
1497,231,131
1498,890,790
1499,680,580
1500,235,135
1501,893,793
1502,431,331
1503,393,293
1504,197,97
1505,242,142
1506,734,634
1507,356,256
1508,954,854
1509,670,570
1510,812,712
1511,636,536
1512,546,446
1513,941,841
1514,151,51
1515,688,588
1516,1005,905
1517,709,609
1518,161,61
1519,433,333
1520,871,771
1521,545,445
1522,982,882
1523,406,306
1524,235,135
1525,605,505
1526,451,351
1527,925,825
1528,684,584
1529,862,762
1530,666,566
1531,137,37
1532,490,390
1533,533,433
1534,107,7
1535,801,701
1536,523,423
1537,426,326
1538,506,406
1539,984,884
1540,274,174
1541,582,482
1542,414,314
1543,944,844
1544,1013,913
1545,139,39
1546,154,54
1547,246,146
1548,575,475
1549,973,873
1550,1090,990
1551,698,598
1552,162,62
1553,479,379
1554,170,70
1555,733,633
1556,867,767
1557,1073,973
1558,257,157
1559,479,379
1560,754,654
1561,827,727
1562,774,674
1563,1053,953
1564,981,881
1565,409,309
1566,143,43
1567,730,630
1568,516,416
1569,393,293
1570,924,824
1571,1022,922
1572,879,779
1573,248,148
1574,471,371
1575,398,298
1576,995,895
1577,538,438
1578,628,528
1579,358,258
1580,587,487
1581,753,653
1582,513,413
1583,605,505
1584,981,881
1585,707,607
1586,198,98
1587,401,301
1588,103,3
1589,703,603
1590,644,544
1591,624,524
1592,794,694
1593,123,23
1594,154,54
1595,616,516
1596,415,315
1597,719,619
1598,432,332
1599,270,170
1600,1098,998
1601,373,273
1602,319,219
1603,780,680
1604,802,702
1605,295,195
1606,1030,930
1607,185,85
1608,660,560
1609,167,67
1610,223,123
1611,967,867
1612,471,371
1613,580,480
1614,226,126
1615,421,321
1616,999,899
1617,964,864
1618,921,821
1619,712,612
1620,918,818
1621,162,62
1622,332,232
1623,188,88
1624,619,519
1625,696,596
1626,440,340
1627,520,420
1628,475,375
1629,1047,947
1630,636,536
1631,113,13
1632,770,670
1633,763,663
1634,266,166
1635,574,474
1636,283,183
1637,231,131
1638,1071,971
1639,379,279
1640,101,1
1641,435,335
1642,289,189
1643,886,786
1644,769,669
1645,252,152
1646,824,724
1647,279,179
1648,516,416
1649,930,830
1650,496,396
1651,198,98
1652,554,454
1653,578,478
1654,235,135
1655,791,691
1656,668,568
1657,605,505
1658,204,104
1659,296,196
1660,337,237
1661,118,18
1662,920,820
1663,140,40
1664,598,498
1665,417,317
1666,1050,950
1667,543,443
1668,709,609
1669,687,587
1670,1055,955
1671,270,170
1672,555,455
1673,262,162
1674,923,823
1675,784,684
1676,198,98
1677,575,475
1678,142,42
1679,767,667
1680,196,96
1681,116,16
1682,849,749
1683,960,860
1684,556,456
1685,1083,983
1686,457,357
1687,830,730
1688,746,646
1689,704,604
1690,187,87
1691,449,349
1692,605,505
1693,713,613
1694,866,766
1695,190,90
1696,616,516
1697,686,586
1698,915,815
1699,319,219
1700,193,93
1701,495,395
1702,609,509
1703,428,328
1704,867,767
1705,432,332
1706,576,476
1707,274,174
1708,356,256
1709,710,610
1710,260,160
1711,765,665
1712,955,855
1713,419,319
1714,773,673
1715,119,19
1716,911,811
1717,384,284
1718,745,645
1719,370,270
1720,156,56
1721,432,332
1722,165,65
1723,832,732
1724,338,238
1725,187,87
1726,845,745
1727,919,819
1728,505,405
1729,777,677
1730,718,618
1731,974,874
1732,1075,975
1733,1009,909
1734,542,442
1735,172,72
1736,734,634
1737,304,204
1738,341,241
1739,408,308
1740,436,336
1741,584,484
1742,299,199
1743,445,345
1744,816,716
1745,893,793
1746,838,738
1747,736,636
1748,170,70
1749,726,626
1750,345,245
1751,266,166
1752,328,228
1753,393,293
1754,530,430
1755,851,751
1756,408,308
1757,134,34
1758,776,676
1759,438,338
1760,317,217
1761,593,493
1762,191,91
1763,1081,981
1764,878,778
1765,482,382
1766,567,467
1767,523,423
1768,704,604
1769,688,588
1770,962,862
1771,640,540
1772,666,566
1773,903,803
1774,540,440
1775,485,385
1776,348,248
1777,495,395
1778,656,556
1779,324,224
1780,119,19
1781,234,134
1782,966,866
1783,383,283
1784,612,512
1785,723,623
1786,1089,989
1787,121,21
1788,271,171
1789,685,585
1790,155,55
1791,246,146
1792,676,576
1793,981,881
1794,1011,911
1795,921,821
1796,166,66
1797,801,701
1798,370,270
1799,417,317
1800,735,635
1801,401,301
1802,849,749
1803,221,121
1804,401,301
1805,219,119
1806,606,506
1807,106,6
1808,210,110
1809,254,154
1810,370,270
1811,821,721
1812,103,3
1813,444,344
1814,212,112
1815,496,396
1816,397,297
1817,1041,941
1818,373,273
1819,458,358
1820,1097,997
1821,895,795
1822,317,217
1823,878,778
1824,831,731
1825,359,259
1826,1023,923
1827,1052,952
1828,380,280
1829,490,390
1830,126,26
1831,432,332
1832,565,465
1833,881,781
1834,934,834
1835,1037,937
1836,424,324
1837,739,639
1838,469,369
1839,447,347
1840,290,190
1841,719,619
1842,936,836
1843,964,864
1844,833,733
1845,172,72
1846,271,171
1847,985,885
1848,523,423
1849,327,227
1850,960,860
1851,656,556
1852,720,620
1853,758,658
1854,680,580
1855,111,11
1856,876,776
1857,1000,900
1858,268,168
1859,273,173
1860,910,810
1861,711,611
1862,1067,967
1863,298,198
1864,598,498
1865,393,293
1866,217,117
1867,451,351
1868,904,804
1869,267,167
1870,393,293
1871,181,81
1872,383,283
1873,250,150
1874,887,787
1875,338,238
1876,684,584
1877,816,716
1878,1053,953
1879,261,161
1880,893,793
1881,626,526
1882,312,212
1883,515,415
1884,317,217
1885,354,254
1886,1092,992
1887,968,868
1888,637,537
1889,848,748
1890,660,560
1891,673,573
1892,286,186
1893,173,73
1894,343,243
1895,665,565
1896,1010,910
1897,1072,972
1898,140,40
1899,1034,934
1900,552,452
1901,990,890
1902,698,598
1903,920,820
1904,785,685
1905,260,160
1906,714,614
1907,533,433
1908,452,352
1909,856,756
1910,570,470
1911,454,354
1912,351,251
1913,457,357
1914,888,788
1915,232,132
1916,226,126
1917,205,105
1918,220,120
1919,295,195
1920,197,97
1921,735,635
1922,211,111
1923,821,721
1924,295,195
1925,275,175
1926,1072,972
1927,552,452
1928,638,538
1929,382,282
1930,351,251
1931,177,77
1932,460,360
1933,1026,926
1934,233,133
1935,278,178
1936,805,705
1937,369,269
1938,482,382
1939,554,454
1940,1008,908
1941,749,649
1942,938,838
1943,405,305
1944,658,558
1945,986,886
1946,967,867
1947,333,233
1948,906,806
1949,501,401
1950,699,599
1951,348,248
1952,713,613
1953,457,357
1954,196,96
1955,161,61
1956,868,768
1957,834,734
1958,172,72
1959,159,59
1960,916,816
1961,894,794
1962,885,785
1963,391,291
1964,190,90
1965,782,682
1966,325,225
1967,984,884
1968,1093,993
1969,148,48
1970,270,170
1971,1071,971
1972,1008,908
1973,767,667
1974,921,821
1975,1032,932
1976,841,741
1977,937,837
1978,999,899
1979,216,116
1980,304,204
1981,513,413
1982,432,332
1983,855,755
1984,664,564
1985,148,48
1986,412,312
1987,1023,923
1988,508,408
1989,321,221
1990,634,534
1991,366,266
1992,511,411
1993,946,846
1994,327,227
1995,995,895
1996,840,740
1997,739,639
1998,989,889
1999,306,206
2000,889,789
2001,929,829
2002,745,645
2003,764,664
2004,537,437
2005,646,546
2006,935,835
2007,657,557
2008,301,201
2009,927,827
2010,910,810
2011,609,509
2012,543,443
2013,1069,969
2014,986,886
2015,427,327
2016,181,81
2017,810,710
2018,784,684
2019,779,679
2020,412,312
2021,425,325
2022,977,877
2023,519,419
2024,579,479
2025,384,284
2026,960,860
2027,415,315
2028,415,315
2029,590,490
2030,306,206
2031,1022,922
2032,428,328
2033,210,110
2034,162,62
2035,874,774
2036,570,470
2037,647,547
2038,971,871
2039,962,862
2040,114,14
2041,119,19
2042,226,126
2043,837,737
2044,132,32
2045,468,368
2046,994,894
2047,252,152
2048,1056,956
2049,216,116
2050,221,121
2051,777,677
2052,776,676
2053,743,643
2054,977,877
2055,982,882
2056,819,719
2057,354,254
2058,919,819
2059,585,485
2060,1039,939
2061,1063,963
2062,816,716
2063,1058,958
2064,208,108
2065,523,423
2066,469,369
2067,394,294
2068,608,508
2069,538,438
2070,524,424
2071,976,876
2072,681,581
2073,441,341
2074,653,553
2075,1072,972
2076,310,210
2077,129,29
2078,480,380
2079,207,107
2080,230,130
2081,927,827
2082,671,571
2083,315,215
2084,163,63
2085,1009,909
2086,906,806
2087,647,547
2088,846,746
2089,454,354
2090,434,334
2091,1099,999
2092,490,390
2093,397,297
2094,380,280
2095,983,883
2096,1051,951
2097,463,363
2098,280,180
2099,1002,902
2100,459,359
2101,972,872
2102,684,584
2103,902,802
2104,939,839
2105,410,310
2106,575,475
2107,758,658
2108,383,283
